province,avg_temp_province,std_temp_province,avg_humidity_province,std_humidity_province,avg_pressure_province,avg_wind_province
Da Nang,28.513087555223304,2.9617818191040053,78.61100244166838,13.265438985682295,1006.3944760260199,2.2807724150966964
Binh Duong-Thuan An,28.319950710850577,2.5545574713197277,79.33232638897402,9.057522982259714,1007.6014020141942,3.5241742892469508
Ba Ria-Vung Tau-Vung Tau,27.59765116998152,1.5827083723417668,79.76481855498736,6.121088421946213,1007.925950395985,5.3837658812537805
Binh Dinh,27.922678441522997,3.3724089544693308,76.55035466412228,15.305475323189697,1006.8073820043835,2.7646574020149317
Ben Tre,27.795484128225493,2.8765229966622274,80.15377637755138,13.588106198425017,1007.9190335752305,2.411238103636583
Yen Bai,26.85221009435871,3.0513980248075954,84.47533424603907,12.091445269039543,1006.6163238821198,1.1333433880936838
Bac Ninh-Bac Ninh,28.352049694477483,3.469429271088104,79.31383704288119,12.588328052832779,1006.2818969305703,3.0404498655679038
Dak Lak,24.164249203326882,2.92154353168915,88.16668038055647,12.265486692842014,1008.5511483741445,1.5694356613093783
Lai Chau,21.849500147714924,3.252483411074654,88.49273866147124,12.558099492124336,1008.6262064837725,1.0691290546404852
Phu Yen,28.31222098705439,3.4568687552489346,75.02145675469109,16.202401883116014,1006.8652345640634,3.3504940908105225
Tay Ninh,28.310049490521738,2.7689414546846525,75.15440722375384,13.206993495451187,1007.5668237869767,3.2931132584798215
Dak Nong,21.609055133215833,2.480365755772302,91.50158869283312,10.862091533899774,1009.928135328971,1.7163704413385779
Quang Ninh-Ha Long,27.743042939240382,2.4598004232295145,80.6203168711642,8.099216200767225,1006.4269551018868,3.437484312492834
Hau Giang-Vi Thanh,27.621450051786613,2.588525466980747,82.94068717535376,11.881048233314846,1008.2354388514158,3.7201511911064546
Quang Nam-Tam Ky,27.821796959388934,2.9554336333316775,80.05301356431605,12.45762945118576,1006.3121632007774,2.4314902796433095
Quang Tri,27.684742311860187,3.1670628629807904,78.88427868868442,13.709956305380997,1006.1272241931381,3.3595343622222247
Gia Lai,22.195238616163252,2.625685714067205,90.54376503486027,11.305308066781187,1009.0501365436238,2.240878465048984
Hau Giang-Nga Bay,27.617287499931482,2.619631674546337,83.6260231544325,11.91485111456969,1008.2031111897147,3.2730007885061934
Hai Phong,28.594421676020943,2.9581360306733915,80.38183195145734,10.979416560016853,1006.1132779273224,2.973808918297759
Kien Giang-Rach Gia,28.14352161944043,1.0842125974780124,77.92270057364897,4.722514183391357,1008.2531002159403,6.16754061381794
